,id,slice,all,background,spleen,rightKidney,leftKidney,gallbladder,esophagus,liver,stomach,aorta,inferiorVenaCava,portalVeinAndSplenicVein,pancreas,rightAdrenalFland,leftAdrenalGland
0,0,0,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,6,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,7,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,9,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,12,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,13,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,15,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,16,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,17,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,18,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,19,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,20,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,21,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,22,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,23,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,24,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,25,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,26,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,27,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,28,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,29,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,30,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,31,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,32,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,33,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,34,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,35,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,36,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,37,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,38,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,39,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,40,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,41,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,42,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,43,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,44,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,45,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,46,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,47,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,48,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,49,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,50,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,51,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,52,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,53,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,54,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,55,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,56,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,57,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,58,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,59,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,60,191844,191844,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,61,191844,191548,0,0,0,0,0,296,0,0,0,0,0,0,0
62,0,62,191844,191326,0,0,0,0,0,518,0,0,0,0,0,0,0
63,0,63,191844,191090,0,0,0,0,0,754,0,0,0,0,0,0,0
64,0,64,191844,190884,0,0,0,0,0,960,0,0,0,0,0,0,0
65,0,65,191844,190516,0,0,0,0,0,1328,0,0,0,0,0,0,0
66,0,66,191844,190341,0,0,0,0,0,1503,0,0,0,0,0,0,0
67,0,67,191844,190151,0,0,0,0,0,1693,0,0,0,0,0,0,0
68,0,68,191844,189765,0,0,0,0,0,2079,0,0,0,0,0,0,0
69,0,69,191844,189523,0,0,0,0,0,2321,0,0,0,0,0,0,0
70,0,70,191844,189181,0,0,0,0,0,2663,0,0,0,0,0,0,0
71,0,71,191844,187915,0,0,0,0,0,3046,0,255,628,0,0,0,0
72,0,72,191844,187751,0,0,0,0,0,3270,0,267,556,0,0,0,0
73,0,73,191844,187567,0,0,0,0,0,3531,0,222,524,0,0,0,0
74,0,74,191844,187058,0,0,0,0,0,4009,0,259,518,0,0,0,0
75,0,75,191844,186770,0,0,0,0,0,4278,0,270,526,0,0,0,0
76,0,76,191844,186167,0,0,0,0,0,4715,0,408,554,0,0,0,0
77,0,77,191844,185833,0,0,0,0,0,5008,0,393,610,0,0,0,0
78,0,78,191844,185143,0,378,0,0,0,5418,0,342,563,0,0,0,0
79,0,79,191844,184587,0,635,0,0,0,5724,0,342,556,0,0,0,0
80,0,80,191844,184071,0,906,0,0,0,5976,0,351,540,0,0,0,0
81,0,81,191844,183454,0,1212,0,0,0,6322,0,341,515,0,0,0,0
82,0,82,191844,182887,0,1491,0,0,0,6629,0,369,468,0,0,0,0
83,0,83,191844,181835,0,1808,0,0,0,6685,727,354,435,0,0,0,0
84,0,84,191844,180820,0,1910,0,80,0,6735,1255,364,359,0,321,0,0
85,0,85,191844,179668,0,2135,0,165,0,6907,1775,360,377,0,457,0,0
86,0,86,191844,178893,0,2397,0,233,0,6816,2278,336,330,0,561,0,0
87,0,87,191844,177551,0,2584,224,394,0,7079,2664,373,321,0,654,0,0
88,0,88,191844,176782,0,2713,542,450,0,7110,2867,373,302,0,705,0,0
89,0,89,191844,175343,0,2683,900,442,0,7197,3435,355,414,0,1075,0,0
90,0,90,191844,174614,0,2663,1327,362,0,7227,3847,365,418,0,1021,0,0
91,0,91,191844,173089,0,2717,1667,336,0,7854,4167,402,476,0,1136,0,0
92,0,92,191844,172148,0,2519,1901,273,0,8374,4524,400,491,0,1214,0,0
93,0,93,191844,171141,0,2515,2202,209,0,8799,4718,429,538,0,1293,0,0
94,0,94,191844,170507,0,2499,2451,250,0,8950,4879,355,470,0,1483,0,0
95,0,95,191844,169386,0,2574,2620,211,0,9626,5089,411,367,0,1560,0,0
96,0,96,191844,168626,0,2610,2712,264,0,9885,5277,447,393,0,1630,0,0
97,0,97,191844,167699,0,2758,2772,212,0,10696,5215,470,438,0,1584,0,0
98,0,98,191844,167192,0,2846,2761,223,0,11431,4875,444,530,0,1542,0,0
99,0,99,191844,166106,0,2991,2751,212,0,12502,4670,426,623,0,1563,0,0
100,0,100,191844,164958,0,3131,2754,185,0,13289,4549,437,727,0,1814,0,0
101,0,101,191844,164184,0,3198,2800,124,0,14157,4428,388,634,0,1931,0,0
102,0,102,191844,161898,0,3587,2700,0,0,15036,3722,395,691,726,3089,0,0
103,0,103,191844,159807,0,3766,2735,0,0,15799,3717,399,727,1262,3632,0,0
104,0,104,191844,159513,0,3939,2713,0,0,15955,3674,421,715,1630,3284,0,0
105,0,105,191844,157521,0,4101,3236,0,0,16661,4243,415,692,1940,3009,0,26
106,0,106,191844,155569,487,4280,3527,0,0,17339,4613,412,707,2045,2817,0,48
107,0,107,191844,154199,917,4340,3640,0,0,17567,5110,428,691,2418,2483,0,51
108,0,108,191844,152682,1288,4300,3648,0,0,18698,5393,445,756,2098,2453,0,83
109,0,109,191844,150903,1596,4247,3803,0,0,19798,5516,474,701,1885,2808,0,113
110,0,110,191844,149869,1910,4114,3858,0,0,20779,5667,516,738,1265,3038,0,90
111,0,111,191844,149266,2234,3703,3971,0,0,21805,5803,551,603,951,2822,0,135
112,0,112,191844,148758,2523,3663,3816,0,0,22569,5825,540,685,608,2661,35,161
113,0,113,191844,148139,2843,3281,3803,0,0,23131,5786,575,842,867,2317,91,169
114,0,114,191844,147731,2850,2939,3727,0,0,23341,6434,586,764,853,2301,117,201
115,0,115,191844,147472,2988,2530,3527,0,0,23872,6869,667,768,1247,1589,133,182
116,0,116,191844,147844,3207,1918,3326,0,0,24379,7272,649,663,1297,928,175,186
117,0,117,191844,148601,3350,1560,2923,0,0,24855,7284,624,501,1076,660,213,197
118,0,118,191844,148732,3827,471,2562,0,0,25805,7705,643,513,710,344,359,173
119,0,119,191844,148715,4346,0,2114,0,0,26340,7986,630,595,573,0,377,168
120,0,120,191844,147826,5280,0,1704,0,0,26849,7999,599,560,491,0,347,189
121,0,121,191844,147324,6067,0,1144,0,0,27435,7851,568,546,466,0,270,173
122,0,122,191844,147783,6649,0,703,0,0,27370,7685,664,442,195,0,154,199
123,0,123,191844,147453,7219,0,332,0,0,27865,7483,742,471,0,0,125,154
124,0,124,191844,147997,7619,0,0,0,0,27645,7247,697,473,0,0,0,166
125,0,125,191844,148827,7889,0,0,0,0,27359,6561,680,420,0,0,0,108
126,0,126,191844,149915,7824,0,0,0,0,26706,5995,713,601,0,0,0,90
127,0,127,191844,150611,7965,0,0,0,441,25958,5672,730,467,0,0,0,0
128,0,128,191844,151890,7966,0,0,0,430,24952,5455,754,397,0,0,0,0
129,0,129,191844,153974,8034,0,0,0,456,23266,4794,771,549,0,0,0,0
130,0,130,191844,156334,7895,0,0,0,589,21535,4128,807,556,0,0,0,0
